iter	Passed	Remaining
781	1283	357
782	1284	355
783	1286	354
784	1287	352
785	1289	351
786	1291	349
787	1292	347
788	1294	346
789	1295	344
790	1297	342
791	1298	341
792	1300	339
793	1302	337
794	1303	336
795	1306	334
796	1308	333
797	1309	331
798	1311	329
799	1321	330
800	1324	329
801	1326	327
802	1328	325
803	1329	324
804	1331	322
805	1332	320
806	1334	319
807	1336	317
808	1338	315
809	1339	314
810	1341	312
811	1343	311
812	1344	309
813	1345	307
814	1347	305
815	1349	304
816	1351	302
817	1352	300
818	1353	299
819	1355	297
820	1357	295
821	1358	294
822	1360	292
823	1361	290
824	1362	289
825	1364	287
826	1365	285
827	1367	284
828	1368	282
829	1369	280
830	1371	278
831	1373	277
832	1374	275
833	1376	273
834	1377	272
835	1380	270
836	1381	269
837	1383	267
838	1385	265
839	1386	264
840	1388	262
841	1389	260
842	1391	259
843	1392	257
844	1394	255
845	1396	254
846	1397	252
847	1398	250
848	1400	249
849	1402	247
850	1404	245
851	1405	244
852	1407	242
853	1408	240
854	1409	239
855	1411	237
856	1412	235
857	1414	234
858	1416	232
859	1418	230
860	1420	229
861	1421	227
862	1423	226
863	1425	224
864	1426	222
865	1428	221
866	1430	219
867	1431	217
868	1432	215
869	1434	214
870	1436	212
871	1437	211
872	1439	209
873	1440	207
874	1441	205
875	1443	204
876	1444	202
877	1446	200
878	1447	199
879	1449	197
880	1450	195
881	1452	194
882	1453	192
883	1455	190
884	1456	189
885	1458	187
886	1459	185
887	1461	184
888	1463	182
889	1464	181
890	1466	179
891	1468	177
892	1469	176
893	1471	174
894	1473	172
895	1475	171
896	1477	169
897	1479	168
898	1481	166
899	1482	164
900	1484	163
901	1485	161
902	1487	159
903	1488	158
904	1490	156
905	1491	154
906	1493	153
907	1495	151
908	1497	149
909	1499	148
910	1501	146
911	1502	145
912	1504	143
913	1506	141
914	1507	140
915	1509	138
916	1510	136
917	1512	135
918	1513	133
919	1515	131
920	1517	130
921	1519	128
922	1520	126
923	1522	125
924	1523	123
925	1525	121
926	1527	120
927	1528	118
928	1530	116
929	1531	115
930	1533	113
931	1534	111
932	1536	110
933	1537	108
934	1539	107
935	1541	105
936	1543	103
937	1545	102
938	1546	100
939	1548	98
940	1550	97
941	1553	95
942	1554	93
943	1556	92
944	1558	90
945	1559	89
946	1561	87
947	1563	85
948	1565	84
949	1567	82
950	1568	80
951	1570	79
952	1571	77
953	1572	75
954	1574	74
955	1575	72
956	1577	70
957	1579	69
958	1580	67
959	1582	65
960	1584	64
961	1586	62
962	1587	60
963	1588	59
964	1590	57
965	1592	56
966	1593	54
967	1595	52
968	1597	51
969	1599	49
970	1600	47
971	1601	46
972	1603	44
973	1604	42
974	1606	41
975	1607	39
976	1609	37
977	1610	36
978	1612	34
979	1613	32
980	1615	31
981	1616	29
982	1618	27
983	1619	26
984	1621	24
985	1622	23
986	1624	21
987	1625	19
988	1627	18
989	1628	16
990	1630	14
991	1631	13
992	1633	11
993	1634	9
994	1636	8
995	1637	6
996	1639	4
997	1641	3
998	1642	1
999	1644	0
